Id,name,slug,price,originalPrice,shortdescription,longdescription,primary_url,thumbnails,category_id,tags_id,brands_id
11, Le coq Original,-le-coq-original,2700,3000,Authentic Le Coq Sportif sneaker with vintage-inspired design.,"The Le Coq Original features a blend of leather and mesh materials for breathability and durability. It highlights classic retro styling with modern comfort technologies, perfect for casual wear and athletic activities. Its signature rooster logo adds a touch of heritage to any outfit.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764806/lecoq_z6sjlq.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764806/le_coq_z7qhf1.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764806/le_coq_z7qhf1.jpg",1,"3,6",0
12,Jordan 9 Original,jordan-9-original,2800,,Classic Air Jordan 9 with original styling and performance,"The Air Jordan 9 original model boasts premium leather and synthetic uppers, durable rubber outsoles, and innovative cushioning for superior support. This sneaker combines on-court performance with off-court style, featuring a sleek design and iconic branding.",https://res.cloudinary.com/djidjtrfg/image/upload/v1756142703/j9blk_m9k0i9.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1756142704/j9yblack_rtozgz.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1756142708/j9_nc2lod.jpg",1,4,5
13,Nocta original,nocta-original,3100,,Nike Nocta sneaker with contemporary design and premium materials.,"The Nocta Original is a collaboration-inspired sneaker featuring a mix of high-quality leather, mesh, and suede with a modern silhouette. It includes advanced cushioning and a unique color palette, delivering style and comfort for streetwear enthusiasts.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764820/nocta1_domzfl.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764818/nocta_xarmjk.jpg,1,"3,6",0
14,Jordan 4 Original,jordan-4-original,3000,,Legendary Air Jordan 4 with classic design and comfort.,"The original Air Jordan 4 features a combination of leather and mesh uppers, signature plastic wing eyelets, and visible Air cushioning for exceptional comfort. Its timeless design remains a staple in sneaker culture, blending performance and style.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771053/j4_iwfegz.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755771053/j4_iwfegz.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771062/jordan_4_qtgebh.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771052/j4_tllxnu.jpg",1,1,5
15,Balde Original,balde-original,2800,,Stylish Balde sneaker with sleek design and comfort.,"The Balde Original is crafted with premium materials, including smooth leather and breathable textiles. It offers a streamlined silhouette with cushioned insoles and durable outsoles, making it ideal for everyday casual wear and urban fashion.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764760/balde_sa8pku.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764761/balde1_xcndxa.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764760/balde_sa8pku.jpg",1,"3,6",0
16,Dior Hommie Original,dior-hommie-original,3000,,Exclusive Dior Homme sneaker with luxury craftsmanship.,"The Dior Homme Original sneaker features exquisite leather construction, refined stitching, and sophisticated design details. It embodies high-end fashion with a sleek, minimalist aesthetic and superior comfort for a premium footwear experience.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764799/DiorHommie5_zppv1q.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764797/DiorHommie4_o7pqu9.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764797/DiorHommie3_ix6ow1.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764797/DiorHommie2_fn7sul.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764796/DiorHommie_d7beef.jpg",1,1,0
17,Venom original,venom-original,2800,,Bold Venom sneaker with unique design and durable build.,"The Venom Original stands out with aggressive styling, a combination of synthetic and leather materials, and reinforced soles. It provides excellent support and a distinct look suited for streetwear and active lifestyles.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764850/venom_ob4mph.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1756142694/venom_t9kzkq.webp,https://res.cloudinary.com/djidjtrfg/image/upload/v1756142693/venom_zh26nb.jpg",1,3,2
18,Vans Original,vans-original,1500,,Classic Vans sneaker with durable canvas and rubber sole.,"The Vans Original is iconic for its simple yet versatile design, featuring a sturdy canvas upper, signature waffle rubber outsole, and padded collars for comfort. Perfect for skateboarding or casual daily wear, it represents timeless street style.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764843/vans_xgq0zs.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764842/vans_eo7kfl.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764842/vans_eo7kfl.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764842/VANS_kgii5n.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764841/van3_m03wn5.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764841/van3_a4hxpy.jpg,",1,3,0
19,Samba   Original,samba---original,2500,,Adidas Samba with classic soccer-inspired design and comfort.,"The Adidas Samba Original features a suede and leather upper, gum rubber sole, and a low-profile silhouette. Originally designed for indoor soccer, it’s now a stylish casual shoe offering durability and comfort for everyday use.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771063/samba_wuibz9.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771062/samba_pbkmrx.jpg,1,1,1
20,macqueen Sizes,macqueen-sizes,3000,,Alexander McQueen sneakers available in a full range of sizes.,"Alexander McQueen sneakers are known for their oversized sole design, premium leather uppers, and bold, fashion-forward aesthetics. Available in multiple sizes, these shoes offer comfort and a luxury statement for both casual and high-fashion looks.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764807/macqueen_sizes_pipgn2.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1756142693/msize_aoj6gx.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1756142693/msize_aoj6gx.jpg",1,2,0
21,Empire Brown Original,empire-brown-original,2100,,Empire Brown sneaker with premium materials and rugged design.,"Empire Brown Original combines leather and textile uppers for durability and style. The shoe features a sturdy sole, padded collar, and a classic silhouette that works well for everyday use and outdoor activities.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764804/empire_brown_zuji7j.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755771131/empire_a6dvvz.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771131/empire_jbyflt.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771130/empire_qf2dm1.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771130/empire_kmghb8.jpg",1,"2,6",0
22,TOMMY Hilfiger Original,tommy-hilfiger-original,2500,,Tommy Hilfiger original sneaker with classic American style.,"This sneaker embodies Tommy Hilfiger’s signature preppy look with premium leather uppers, embroidered logos, and a comfortable rubber sole. Its versatile design suits casual and smart-casual outfits.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764840/Tommy_highfiler2_mtbxpj.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764833/Tommy_highfiler_lzmzus.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764833/Tommy_highfiler_qaghdn.jpg,",1,"1,3",0
23,puma suede,puma-suede,2600,,Iconic Puma Suede sneaker with soft suede upper and classic look.,"The Puma Suede is renowned for its plush suede upper, durable rubber sole, and timeless silhouette. It offers comfort and style, making it a staple in streetwear and sports fashion since the 1960s.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764823/puma_suede_inyd6i.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764822/puma_suede_wipdjd.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764825/pumasuede_ym8l6m.jpg",1,6,3
24,Nike Af1 low x Louis Vuitton,nike-af1-low-x-louis-vuitton,2800,,Exclusive Nike Air Force 1 Low collaboration with Louis Vuitton.,"This limited-edition sneaker merges Nike’s iconic Air Force 1 design with Louis Vuitton’s luxury craftsmanship. Featuring premium leather, LV monogram accents, and enhanced cushioning, it’s a collector’s dream blending streetwear with high fashion.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764760/AF1_LOUIS_VULTON_rthyze.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764760/AF1_LOUIS_VULTON_rthyze.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764760/AF1_LOUIS_VULTON_rthyze.jpg",1,3,2
25,New Balance 530 Original,new-balance-530-original,2800,,New Balance 530 original with retro running style and support.,"The New Balance 530 combines suede and mesh uppers for breathability and durability. Equipped with ENCAP midsole technology, it provides excellent support and cushioning, ideal for both casual wear and light athletic use.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764817/NewBalance_gb2oiv.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764817/NewBalance_gb2oiv.jpg,1,5,0
26,Lacoste Casual,lacoste-casual,2800,,Lacoste casual sneaker with sleek design and comfort.,"Lacoste Casual features clean lines with premium leather and textile uppers, cushioned insoles, and the iconic crocodile logo. Its minimalist design makes it perfect for everyday wear with a sporty, sophisticated touch.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764805/lacosteoriginal_sy5gsw.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764805/lacosteoriginal_hk8pwa.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764805/lacosteoriginal_sy5gsw.jpg",1,3,0
27,Airforce Nola,airforce-nola,2700,,Nike Air Force Nola with classic style and robust build.,"The Airforce Nola maintains the legendary Air Force silhouette with a mix of leather and synthetic materials. It offers durable construction, solid cushioning, and a timeless look favored by sneaker enthusiasts worldwide.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771005/Airforce_Nola_grvhfe.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771005/Airforce_Nola_grvhfe.jpg,1,"4,6",2
28,Af1 customaised Original,af1-customaised-original,2800,,Customized Nike Air Force 1 with personalized design features.,"This original Air Force 1 is tailored with unique customizations such as special colorways, materials, and detailing. It combines Nike’s signature comfort and durability with a one-of-a-kind aesthetic tailored to individual style preferences.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764759/AF1_CUSTOMIZABLE_midpnn.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764759/AF1_CUSTOMIZABLE_midpnn.jpg,1,6,2
29,Airforce Psg,airforce-psg,2800,,Nike Air Force 1 Paris Saint-Germain edition with exclusive design.,"The Air Force PSG features premium leather construction, PSG branding, and a blend of sporty and stylish details. This collaboration offers both fans and sneaker collectors a limited-edition shoe with top-tier comfort and iconic appeal.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764759/AF1_PSG_lqc7e5.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764759/AF1_PSG_lqc7e5.jpg,1,3,2
30,sb Dunk Original,sb-dunk-original,2700,,Nike SB Dunk original skateboarding sneaker with classic style.,"The Nike SB Dunk Original offers a durable leather and suede upper, reinforced to withstand skateboarding wear. Featuring Zoom Air cushioning for impact protection and a grippy rubber outsole, it balances performance with iconic streetwear appeal.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764825/sb_dunk_zu76gh.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764824/sb_dunk_rjhmpo.jpg,1,"1,3",2
31,New Addidas Campus,new-addidas-campus,2700,,Adidas Campus sneaker with suede upper and retro design.,"The Adidas Campus combines premium suede uppers, a comfortable padded collar, and a durable rubber sole. Originally a basketball shoe, it now serves as a stylish casual sneaker with a clean, timeless silhouette.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764816/New_adidas_campus_m50ygw.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764816/new_adidas_campus_il167k.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764815/New_adidas_campus_ry4pjr.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764811/new_adidas_campus_fo2s5f.jpg,",1,2,1
32,Boss,boss,2500,,Elegant Boss sneaker with premium materials and sleek design.,"Boss sneakers showcase refined craftsmanship with high-quality leather, minimalist styling, and plush cushioning. Designed for both casual and semi-formal wear, they offer comfort and a sophisticated aesthetic.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764761/boss_k53wsq.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764762/boss_tkxb3n.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764761/boss_k53wsq.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764761/boss_fjfxp0.jpg",1,3,0
33,Timberland Casual  ,timberland-casual--,2500,,Timberland casual sneaker with rugged style and comfort.,"Timberland Casual combines premium leather and textile uppers with durable outsoles designed for everyday wear. The shoe balances rugged outdoor aesthetics with casual comfort and support, suitable for various lifestyles.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764832/Timberlandcasual_aazvwq.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764831/Timberland_casual_zp6rta.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764831/Timberland_casual_xqz3iu.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764826/Timberland_casual_pmagqn.jpg,",1,1,4
34,11 pro original,11-pro-original,1800,,Apple iPhone 11 Pro original with advanced features and design.,"The iPhone 11 Pro Original features a powerful A13 Bionic chip, triple-camera system for professional-quality photos, and a Super Retina XDR display. Its durable glass and stainless steel design provide a premium look and feel.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771065/11pro_pxvaqz.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755771065/11pro_upmqiw.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771065/11pro_er5clb.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771065/11pro_xz1thw.jpg",1,"2,5",0
35,form cleaner,form-cleaner,500,,Specialized form cleaner for effective sneaker maintenance.,"Form Cleaner is a professional-grade sneaker cleaner designed to safely and effectively remove dirt, stains, and grime from various shoe materials including leather, suede, and mesh, helping to maintain and restore your sneakers’ original appearance.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771039/foam_wnq782.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755771039/foam_wnq782.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771039/foam_wnq782.jpg",1,3,0
36,Airforce Black/white,airforce-black/white,1900,,Nike Air Force 1 in classic black and white colorway.,"The Airforce Black/White features premium leather construction with a timeless two-tone design. It combines durability, comfort, and iconic style, making it a versatile sneaker for everyday wear and street fashion.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771041/forca_wgugnr.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771041/forca_wgugnr.jpg,1,3,2
37,Nike Tn,nike-tn,2800,,Nike Air Max Plus (TN) with signature Tuned Air cushioning.,"The Nike TN offers a bold design with synthetic mesh uppers, signature Tuned Air technology for responsive cushioning, and durable outsoles. Its distinctive styling and vibrant colors have made it a sneaker culture staple.",https://res.cloudinary.com/djidjtrfg/image/upload/v1756141319/NIKE_AIR_MAX_PLUS_GS_3_xsb2vc.avif,"https://res.cloudinary.com/djidjtrfg/image/upload/v1756141306/NIKE_AIR_MAX_PLUS_GS_fneda7.avif,https://res.cloudinary.com/djidjtrfg/image/upload/v1756141336/NIKE_AIR_MAX_PLUS_GS_2_t3hori.avif,https://res.cloudinary.com/djidjtrfg/image/upload/v1756141351/NIKE_AIR_MAX_PLUS_GS_1_wmrkeg.avif",1,4,2
38,Airmax 97,airmax-97,2700,,Nike Air Max 97 with sleek design and full-length Air unit.,"The Air Max 97 original model features a wave-inspired design with reflective piping, full-length visible Air cushioning for ultimate comfort, and a lightweight mesh and synthetic upper, blending futuristic style with superior performance.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771115/air97_h8ciig.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1756141515/air-max-97-silver-bullet-dm0028-002-release-date_zkymi8.avif,https://res.cloudinary.com/djidjtrfg/image/upload/v1756141513/air-max-97-black_mw6xpa.webp",1,"4,6",2
39,Airmax 95 ,airmax-95-,3100,,Nike Air Max 95 with layered upper and visible Air units.,The Air Max 95 features a distinctive gradient layered leather and mesh upper with multiple visible Air units for excellent cushioning. Its bold design and comfort make it a perennial favorite among sneakerheads and athletes alike.,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771109/97_gjsxc1.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771102/97_emgr1m.jpg,1,3,2
40,jordan 3 Original,jordan-3-original,2900,,Classic Air Jordan 3 with elephant print and visible Air cushioning.,"The Air Jordan 3 Original combines premium leather uppers with iconic elephant print overlays and a visible Air-Sole unit in the heel for cushioning. Designed by Tinker Hatfield, it blends style and performance, becoming a timeless basketball sneaker.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771053/j4_viaq85.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771041/j3_qgumnf.jpg,1,6,5
41,Jordan 4 Bricks by bricks,jordan-4-bricks-by-bricks,3300,,"Limited edition Air Jordan 4 ""Bricks By Bricks"" with unique design.","The Jordan 4 ""Bricks By Bricks"" edition features premium materials and a special brick-inspired pattern on the upper, celebrating urban culture and craftsmanship. With classic Air cushioning and signature Jordan detailing, it’s a collector’s gem.",https://res.cloudinary.com/djidjtrfg/image/upload/v1756141619/air-jordan-4-nigel-brick-by-brick-hf4340-800-release-date_wnljkk.avif,"https://res.cloudinary.com/djidjtrfg/image/upload/v1756141617/air-jordan-4-nigel-brick-by-brick-hf4340-800-release-date_2_qybl2d.avif,https://res.cloudinary.com/djidjtrfg/image/upload/v1756141618/air-jordan-4-nigel-brick-by-brick-hf4340-800-release-date_1_ltvqdi.avif",1,,5
42,Hp color laserjet 4303fdw printer,hp-color-laserjet-4303fdw-printer,79000,,"A compact, quad-function (print/copy/scan/fax) color laser printer, offering fast duplex printing up to 33 ppm, suitable monthly duty cycle, and versatile connectivity.","The 4303fdw combines print, copy, scan, and fax in one device, delivering up to 33 ppm in both black and color (ISO A4), with first-page-out in about 10 seconds. It supports automatic duplex, has a duty cycle up to 50,000 pages/month, integrates network, USB, Wi‑Fi (ac), and Wi‑Fi Direct, and includes preinstalled toner cartridges. Ideal for small to medium offices seeking reliability and speed in a compact form factor",https://res.cloudinary.com/djidjtrfg/image/upload/v1755879248/Hpcolorlaserjet_4303fdw_printe_bym74h.webp,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755879248/Hpcolorlaserjet_4303fdw_printe_bym74h.webp,https://res.cloudinary.com/djidjtrfg/image/upload/v1755879207/4_vfesa7.png,https://res.cloudinary.com/djidjtrfg/image/upload/v1755879252/id5_urchxd.webp",3,4,6
43,Hp color laserjet 4303dw printer,hp-color-laserjet-4303dw-printer,71000,,"A high-speed color MFP (print/scan/copy), delivering duplex printing at 33 ppm with robust network and wireless connectivity.","The 4303dw offers print, scan, and copy, up to 33 ppm in both color and black, automatic duplex printing, ADF-enabled scanning, and comprehensive media support. Connectivity includes USB, Gigabit Ethernet, Wi‑Fi (ac), Wi‑Fi Direct, and walk-up USB. With a 250-sheet main tray plus ADF, it's well-suited for busy workgroups needing fast, efficient color output",https://res.cloudinary.com/djidjtrfg/image/upload/v1755879248/Hpcolorlaserjet_4303fdw_printe_bym74h.webp,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755879207/4_vfesa7.png,https://res.cloudinary.com/djidjtrfg/image/upload/v1755879252/id5_urchxd.webp",3,5,6
44,Hp laserjet 4103fdw printer,hp-laserjet-4103fdw-printer,69000,,"A high-volume mono MFP that handles up to 42 ppm, offering duplex scanning and printing, plus rich connectivity for team usage.","The 4103fdw supports print, copy, scan, and fax, with up to 40 ppm (A4). It includes duplex scanning, an ADF, touchscreen interface, and mobile printing via the HP Smart app. Connectivity covers Wi‑Fi, Ethernet, and USB. With a hefty duty cycle (up to 80,000 pages/month), dual trays (up to 900‑sheet capacity), and strong productivity features (scan-to-email, fax), it’s ideal for high-demand office environments.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755879835/pid3_bmy6p5.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755879794/p3_lrt4sp.jpg,3,6,6
45,hp color laserjet 3303sdw printer,hp-color-laserjet-3303sdw-printer,67000,,"A compact, efficient color MFP (print/scan/copy) offering duplex printing at up to 25 ppm with secure and mobile-friendly features.","Designed for business teams, the 3303sdw delivers reliable two-sided color printing, scanning, and copying at up to 25 ppm. It features a 50-sheet ADF, robust security (HP Wolf Pro Security), and flexible connectivity (USB, Ethernet, Wi‑Fi (ac), Wi‑Fi Direct, mobile printing). Its compact footprint and dependable performance make it a great fit for small workspaces needing quality color throughput.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755879848/prid4_sgwxog.png,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755879838/pr4_czsabs.png,https://res.cloudinary.com/djidjtrfg/image/upload/v1755879797/p4_kycnyc.png",3,6,6
46,hp color laserjet 179fw,hp-color-laserjet-179fw,59000,,"A compact 4‑in‑1 (print, scan, copy, fax) color laser multifunction printer, offering up to 18 ppm black and 4 ppm color, manual duplexing, ADF scanning, and wireless/mobile printing—all in a space-saving design.","The HP Color Laser MFP 179fnw (4ZB97A) is a multifunction laser printer combining print, copy, scan, and fax capabilities. It prints in black at up to 18 ppm and in color at up to 4 ppm, with first-page-out times around 12.4 seconds (black) and 25.3 seconds (color)",https://res.cloudinary.com/djidjtrfg/image/upload/v1755879847/pri5_vrf2s1.webp,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755879828/p5_fxorw4.webp,https://res.cloudinary.com/djidjtrfg/image/upload/v1755879252/id5_urchxd.webp",3,5,6
47,Hp laserjet 183fw color printer,hp-laserjet-183fw-color-printer,65000,,"A versatile color laser all‑in‑one (print/scan/copy/fax) MFP delivering up to 16 ppm in both black and color, manual duplexing, ADF scanning, network and wireless connectivity, and mobile printing features.","The HP Color LaserJet Pro MFP M183fw (7KW56A) delivers multifunction productivity with print, scan, copy, and fax in one device. It offers up to 16 ppm for both black and color prints, with first-page-out times as fast as roughly 11.8 seconds (black) and 13.8 seconds (color)",https://res.cloudinary.com/djidjtrfg/image/upload/v1755879849/priid16_fzcvpa.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755879836/pid6_acxjgd.avif,https://res.cloudinary.com/djidjtrfg/image/upload/v1755879833/p6_wu4rir.avif,https://res.cloudinary.com/djidjtrfg/image/upload/v1755879252/id6_tki21c.avif",3,4,6
